,1,2,3,4,5,6,7,8,9,10
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3.1,3.8,4.15,4.36,4.5,4.6,4.675000000000001,4.733333333333333,4.78,4.818181818181818
2,4.65,6.333333333333333,7.262500000000001,7.848000000000001,8.25,8.542857142857143,8.765625,8.94074074074074,9.082,9.198347107438018
3,5.425000000000001,8.022222222222222,9.596875,10.638400000000003,11.375,11.922448979591836,12.344921874999999,12.68065843621399,12.953800000000001,13.180315552216378
4,5.8125,9.148148148148147,11.34765625,12.870720000000004,13.979166666666666,14.819241982507288,15.476806640625,16.005029721079104,16.43842,16.800286865651252
5,6.00625,9.898765432098765,12.660742187499999,14.656576000000005,16.149305555555557,17.302207413577676,18.217205810546876,18.96002641873698,19.574578,20.091169877864772
6,6.103125,10.39917695473251,13.645556640625,16.085260800000004,17.95775462962963,19.430463497352292,20.615055084228516,21.586690149988424,22.3971202,23.08288170714979
7,6.151562500000001,10.73278463648834,14.384167480468749,17.228208640000002,19.464795524691358,21.254682997730534,22.713173198699952,23.921502355545265,24.93740818,25.802619733772538
8,6.17578125,10.955189757658893,14.938125610351562,18.142566912000003,20.7206629372428,22.818299712340455,24.549026548862457,25.9968909827069,27.223667361999997,28.275108848884123
9,6.187890625,11.10345983843926,15.35359420776367,18.8740535296,21.767219114369,24.15854261057753,26.15539823025465,27.841680873517245,29.281300625799997,30.522826226258296
10,6.1939453125,11.202306558959506,15.665195655822753,19.45924282368,22.639349261974164,25.30732223763788,27.56097345147282,29.481494109793104,31.13317056322,32.566205660234814
